ATCG00500.1|PACid:19637947	kingdom ORFan
ATCG00510.1|PACid:19637948	kingdom ORFan
ATCG00280.1|PACid:19637949	kingdom ORFan
ATCG00890.1|PACid:19637950	kingdom ORFan
ATCG01250.1|PACid:19637951	kingdom ORFan
ATCG00180.1|PACid:19637952	kingdom ORFan
ATCG00340.1|PACid:19637953	kingdom ORFan
ATCG00420.1|PACid:19637954	kingdom ORFan
ATCG00600.1|PACid:19637955	kingdom ORFan
ATCG00210.1|PACid:19637956	kingdom ORFan
ATCG00020.1|PACid:19637957	kingdom ORFan
ATCG01100.1|PACid:19637958	kingdom ORFan
ATCG00660.1|PACid:19637959	kingdom ORFan
ATCG00740.1|PACid:19637960	kingdom ORFan
ATCG00820.1|PACid:19637961	kingdom ORFan
ATCG00640.1|PACid:19637962	kingdom ORFan
ATCG01020.1|PACid:19637963	kingdom ORFan
ATCG01060.1|PACid:19637964	kingdom ORFan
ATCG00330.1|PACid:19637965	kingdom ORFan
ATCG00800.1|PACid:19637966	kingdom ORFan
ATCG00710.1|PACid:19637967	kingdom ORFan
ATCG00590.1|PACid:19637968	kingdom ORFan
ATCG01050.1|PACid:19637969	kingdom ORFan
ATCG00050.1|PACid:19637970	kingdom ORFan
ATCG00520.1|PACid:19637971	kingdom ORFan
ATCG00070.1|PACid:19637972	kingdom ORFan
ATCG00700.1|PACid:19637973	kingdom ORFan
ATCG00830.1|PACid:19637974	kingdom ORFan
ATCG00480.1|PACid:19637975	kingdom ORFan
ATCG00080.1|PACid:19637976	kingdom ORFan
ATCG00430.1|PACid:19637977	kingdom ORFan
ATCG00350.1|PACid:19637978	kingdom ORFan
ATCG00570.1|PACid:19637979	kingdom ORFan
ATCG00690.1|PACid:19637980	kingdom ORFan
ATCG00160.1|PACid:19637981	kingdom ORFan
ATCG01280.1|PACid:19637982	kingdom ORFan
ATCG00770.1|PACid:19637983	kingdom ORFan
ATCG00670.1|PACid:19637984	kingdom ORFan
ATCG00380.1|PACid:19637985	kingdom ORFan
ATCG00580.1|PACid:19637986	kingdom ORFan
ATCG00300.1|PACid:19637987	kingdom ORFan
ATCG01000.1|PACid:19637988	phylum ORFan
ATCG01130.1|PACid:19637989	phylum ORFan
ATCG00440.1|PACid:19637990	kingdom ORFan
ATCG00680.1|PACid:19637991	kingdom ORFan
ATCG00900.1|PACid:19637992	kingdom ORFan
ATCG00040.1|PACid:19637993	phylum ORFan
ATCG00470.1|PACid:19637994	kingdom ORFan
ATCG00170.1|PACid:19637995	kingdom ORFan
ATCG01080.1|PACid:19637996	kingdom ORFan
ATCG00120.1|PACid:19637997	kingdom ORFan
ATCG01110.1|PACid:19637998	kingdom ORFan
ATCG00270.1|PACid:19637999	kingdom ORFan
ATCG01010.1|PACid:19638000	kingdom ORFan
ATCG01040.1|PACid:19638001	kingdom ORFan
ATCG00550.1|PACid:19638002	kingdom ORFan
ATCG00360.1|PACid:19638003	kingdom ORFan
ATCG00065.1|PACid:19638004	kingdom ORFan
ATCG00840.1|PACid:19638005	kingdom ORFan
ATCG01070.1|PACid:19638006	kingdom ORFan
ATCG00760.1|PACid:19638007	kingdom ORFan
ATCG00490.1|PACid:19638008	kingdom ORFan
ATCG00140.1|PACid:19638009	kingdom ORFan
ATCG01270.1|PACid:19638010	phylum ORFan
ATCG00905.1|PACid:19638011	kingdom ORFan
ATCG00810.1|PACid:19638012	kingdom ORFan
ATCG00720.1|PACid:19638013	kingdom ORFan
ATCG01230.1|PACid:19638014	kingdom ORFan
ATCG00220.1|PACid:19638015	kingdom ORFan
